problem_id,trajectory_position,row_in_problem,score,delta_J,y,mask,pos,probe_type
401,27,1,0.33329453047017277,-2.073408582203445,1,0.4285714285714285,0.125,struct
401,27,2,0.31170248587405813,-5.6923177059118935,1,0.6666666666666666,0.25,struct
401,27,3,0.33340683161785467,5.010069211324051,0,0.1428571428571428,0.0,floor
401,27,4,0.34635302781118743,15.175007820129396,0,0.8571428571428571,0.0,struct
401,27,5,0.20437000763377672,7.585184097290039,0,0.5,0.75,floor
401,27,6,0.29059225323051135,7.586175918579102,0,0.8,0.375,struct
401,27,7,0.3633421190651097,5.197823842366532,0,0.5714285714285714,0.0,struct
219,28,0,0.3427899845245157,-7.736228959821162,1,0.8571428571428571,0.125,struct
219,28,1,0.21903066735100737,7.6590399742126465,0,0.6666666666666666,0.625,struct
219,28,2,0.34421686850640937,15.955519676208496,0,0.7142857142857143,0.0,struct
219,28,3,0.33690789688256484,15.995424270629885,0,0.6666666666666666,0.0,struct
219,28,4,0.27194093536121033,8.190447807312012,0,0.6,0.375,struct
219,28,5,0.3354565413251184,-5.304065723504337,1,0.4285714285714285,0.125,struct
219,28,6,0.38351796232651353,8.31982421875,0,0.6666666666666666,0.0,struct
143,29,0,0.38026993912943374,4.484874725341793,0,0.5,0.0,struct
143,29,1,0.3609578454626347,6.820879936218262,0,0.6,0.0,struct
114,30,0,0.3444359887527267,-16.086973243703447,1,0.3333333333333333,0.0,floor
442,31,0,0.39117583682750406,13.069151878356934,0,0.6,0.0,struct
442,31,1,0.37516821365639963,-69.70728874951601,1,0.6666666666666666,0.0,struct
299,32,0,0.35711313920110255,-13.809606231394268,1,0.75,0.0,struct
299,32,1,0.3434192334669169,13.056447982788086,0,0.4,0.0,struct
299,32,2,0.36637646476712427,2.194741408030193,0,0.6666666666666666,0.0,struct
299,32,3,0.3538701915594224,15.162240028381348,0,0.75,0.0,struct
299,32,4,0.17228074305328153,2.252954641977947,0,0.3333333333333333,0.625,floor
299,32,5,0.3262675365225716,3.6975600719451904,0,0.6666666666666666,0.25,struct
299,32,6,0.3023442093252277,2.220276117324829,0,0.1666666666666666,0.25,floor
285,33,0,0.4823482263265281,13.628704071044922,0,0.8333333333333334,0.0,struct
285,33,1,0.21159589131651466,1.46473840566782,0,0.375,0.75,struct
285,33,3,0.45182450327329843,8.105775833129883,0,0.6666666666666666,0.0,struct
285,33,4,0.4713047380941482,16.132511138916016,0,0.8571428571428571,0.125,struct
285,33,5,0.4814996744246612,8.115615844726562,0,0.875,0.0,struct
136,34,0,0.3305404209809666,2.611129570007325,0,0.8333333333333334,0.25,struct
136,34,1,0.4213218020765351,14.10918426513672,0,0.7142857142857143,0.0,struct
136,34,2,0.34137297783293125,15.34115219116211,0,0.375,0.0,struct
136,34,3,0.4132531015589948,15.919872283935549,0,0.8571428571428571,0.0,struct
